Tiempo,Fuerza,Ataque,Salida,Verticalidad
19:52:53,25.48,0.0,-65.0,0.3
19:52:53,51.16,0.0,-70.6,7.9
19:52:53,61.04,0.0,-64.9,13.0
19:52:53,50.17,0.0,-59.8,13.2
19:52:53,41.55,0.0,-53.2,13.9
19:52:54,32.91,0.0,-33.4,-2.1
19:52:54,20.72,0.0,-1.6,0.2
19:52:54,12.52,34.1,0.0,-8.6
19:52:54,10.69,0.0,-71.3,-10.3
19:52:54,11.66,5.3,0.0,26.8
19:52:54,16.53,6.7,0.0,50.2
19:52:54,19.96,0.0,-58.6,-1.4
19:52:54,33.34,0.0,-62.3,1.9
19:52:54,54.51,0.0,-64.9,8.3
19:52:54,56.77,0.0,-53.8,7.7
19:52:55,45.98,0.0,-51.2,6.2
19:52:55,36.64,0.0,-45.6,12.2
19:52:55,25.51,0.0,-22.4,8.4
19:52:55,15.07,4.0,0.0,0.7
19:52:55,11.87,62.8,0.0,-13.9
19:52:55,12.08,0.0,-20.7,38.8
19:52:55,14.39,0.0,-4.1,34.6
19:52:55,18.63,0.0,-47.5,-2.8
19:52:55,23.26,0.0,-62.9,-4.7
19:52:55,46.02,0.0,-72.1,0.7
19:52:56,61.44,0.0,-66.5,9.2
19:52:56,52.04,0.0,-60.0,8.8
19:52:56,40.37,0.0,-57.3,20.0
19:52:56,31.39,0.0,-39.6,11.1
19:52:56,19.89,0.0,-12.2,-1.2
19:52:56,13.15,7.2,0.0,-8.1
19:52:56,11.81,70.6,0.0,-0.7
19:52:56,12.38,0.0,-17.1,28.7
19:52:56,16.64,4.2,0.0,80.5
19:52:57,21.15,0.0,-60.9,0.8
19:52:57,40.22,0.0,-62.6,-6.4
19:52:57,76.18,0.0,-78.6,4.9
19:52:57,76.75,0.0,-64.4,7.5
19:52:57,52.88,0.0,-60.2,18.5
19:52:57,37.87,0.0,-58.6,21.4
19:52:57,29.08,0.0,-34.0,6.7
19:52:57,17.11,9.1,0.0,-11.8
19:52:57,11.0,65.1,0.0,-15.6
19:52:57,11.06,0.0,-37.7,27.8
19:52:58,14.8,26.0,0.0,45.6
19:52:58,19.43,0.0,-59.8,2.6
19:52:58,30.74,0.0,-62.9,-6.0
19:52:58,64.85,0.0,-71.9,5.6
19:52:58,77.41,0.0,-67.9,12.5
19:52:58,55.78,0.0,-63.2,15.9
19:52:58,40.85,0.0,-80.5,9.4
19:52:58,33.57,0.0,-30.1,1.9
19:52:58,20.34,2.9,0.0,-4.2
19:52:58,11.09,66.9,0.0,-8.8
19:52:59,10.16,0.0,-18.1,35.6
19:52:59,15.52,0.0,-13.9,54.3
19:52:59,19.81,0.0,-51.6,0.4
19:52:59,28.68,0.0,-58.7,-4.2
19:52:59,63.78,0.0,-68.7,0.6
19:52:59,79.9,0.0,-71.3,5.9
19:52:59,59.21,0.0,-58.2,11.1
19:52:59,41.77,0.0,-74.3,9.0
19:52:59,32.59,0.0,-55.5,-2.9
19:52:59,20.08,0.0,-2.7,-7.3
19:52:59,11.39,53.8,0.0,-7.8
19:53:00,9.87,0.0,-37.2,30.0
19:53:00,13.41,3.7,0.0,40.5
19:53:00,18.78,0.0,-31.8,6.6
19:53:00,23.08,0.0,-64.1,-2.4
19:53:00,57.16,0.0,-71.3,4.4
19:53:00,82.46,0.0,-62.5,12.8
19:53:00,63.16,0.0,-65.5,13.7
19:53:00,44.58,0.0,-73.3,15.5
19:53:00,34.58,0.0,-41.0,5.6
19:53:00,22.9,0.0,-1.0,-2.4
19:53:01,13.66,49.6,0.0,-3.8
19:53:01,10.39,0.0,-30.6,32.6
19:53:01,13.22,0.0,-18.3,40.4
19:53:01,18.57,0.0,-18.1,9.5
